===== RECEIVED DATA FOR SYMBOL: EURUSD =====
         open      high       low     close    volume  day_of_week      hour    minute       day  timeframe
138  0.287149  0.237084  0.325301  0.267298  0.016837     0.833333  0.173913  0.000000  0.870968       0.50
139  0.307660  0.251946  0.346386  0.282537  0.017890     0.833333  0.130435  0.000000  0.870968       0.50
140  0.323566  0.271762  0.374498  0.302718  0.016982     0.833333  0.086957  0.000000  0.870968       0.50
141  0.328589  0.272824  0.390562  0.318369  0.010022     0.833333  0.043478  0.000000  0.870968       0.50
142  0.286312  0.269285  0.330321  0.323311  0.013205     0.833333  0.000000  0.000000  0.870968       0.50
143  0.316032  0.268931  0.381024  0.322488  0.010058     0.666667  1.000000  0.000000  0.838710       0.50
144  0.305986  0.262916  0.364458  0.310956  0.016389     0.666667  0.956522  0.000000  0.838710       0.50
145  0.320218  0.270701  0.357932  0.301071  0.020577     0.666667  0.913043  0.000000  0.838710       0.50
146  0.281289  0.292994  0.344880  0.315074  0.027464     0.666667  0.869565  0.000000  0.838710       0.50
147  0.324404  0.267162  0.318273  0.278418  0.022792     0.666667  0.826087  0.000000  0.838710       0.50
148  0.269150  0.267516  0.327309  0.319193  0.024462     0.666667  0.782609  0.000000  0.838710       0.50
149  0.241942  0.239915  0.276104  0.264827  0.035997     0.666667  0.739130  0.000000  0.838710       0.50
150  0.243198  0.202760  0.260542  0.238056  0.031615     0.666667  0.695652  0.000000  0.838710       0.50
151  0.230222  0.207714  0.273594  0.239292  0.023167     0.666667  0.652174  0.000000  0.838710       0.50
152  0.237756  0.192144  0.249498  0.226524  0.016824     0.666667  0.608696  0.000000  0.838710       0.50
153  0.239012  0.194621  0.282129  0.233526  0.010119     0.666667  0.565217  0.000000  0.838710       0.50
154  0.228548  0.197806  0.277108  0.235173  0.010688     0.666667  0.521739  0.000000  0.838710       0.50
155  0.210548  0.187544  0.242470  0.224876  0.016110     0.666667  0.478261  0.000000  0.838710       0.50
156  0.221850  0.182236  0.247992  0.207166  0.015517     0.666667  0.434783  0.000000  0.838710       0.50
